nomeprocedimento,codigo
BIOPSIA DE CORDAO ESPERMATICO (UNILATERAL)                                                                                                            ,201010100
BIOPSIA DE CORNEA                                                                                                                                     ,201010119
BIOPSIA DE CORPO VERTEBRAL A CEU ABERTO                                                                                                               ,201010127
BIOPSIA DE CORPO VERTEBRAL LAMINA E PEDICULO VERTEBRAL (POR DISPOSITIVO GUIADO)                                                                       ,201010135
BIOPSIA DE ENDOCARDIO / MIOCARDIO                                                                                                                     ,201010143
BIOPSIA DE ENDOMETRIO                                                                                                                                 ,201010151
BIOPSIA DE ENDOMETRIO POR ASPIRACAO MANUAL INTRA-UTERINA                                                                                              ,201010160
BIOPSIA DE EPIDIDIMO                                                                                                                                  ,201010178
BIOPSIA DE ESCLERA                                                                                                                                    ,201010186
BIOPSIA DE FARINGE/LARINGE                                                                                                                            ,201010194
BIOPSIA DE FIGADO EM CUNHA / FRAGMENTO                                                                                                                ,201010208
BIOPSIA DE FIGADO POR PUNCAO                                                                                                                          ,201010216
BIOPSIA DE GANGLIO LINFATICO                                                                                                                          ,201010224
BIÓPSIA DE GLÂNDULA SALIVAR                                                                                                                           ,201010232
"BIOPSIA DE IRIS, CORPO CILIAR, RETINA, COROIDE, VITREO E TUMOR INTRA OCULAR                                                                           ",201010240
BIOPSIA DE LAMINA PEDICULO E PROCESSOS VERTEBRAIS (A CEU ABERTO)                                                                                      ,201010259
BIOPSIA DE LESAO DE PARTES MOLES (POR AGULHA / CEU ABERTO)                                                                                            ,201010267
BIOPSIA DE MEDULA OSSEA                                                                                                                               ,201010275
BIOPSIA DE MUSCULO (A CEU ABERTO)                                                                                                                     ,201010283
BIOPSIA DE NERVO                                                                                                                                      ,201010291
BIOPSIA DE OSSO / CARTILAGEM DA CINTURA ESCAPULAR (POR AGULHA / CEU ABERTO)                                                                           ,201010305
BIOPSIA DE OSSO / CARTILAGEM DA CINTURA PELVICA (POR AGULHA / CEU ABERTO)                                                                             ,201010313
BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO INFERIOR (POR AGULHA / CEU ABERTO)                                                                             ,201010321
BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO SUPERIOR (POR AGULHA / CEU ABERTO)                                                                             ,201010330
BIÓPSIA DE OSSO DO CRÂNIO E DA FACE                                                                                                                   ,201010348
BIOPSIA DE PALPEBRA                                                                                                                                   ,201010356
BIOPSIA DE PAVILHAO AURICULAR                                                                                                                         ,201010364
BIOPSIA DE PELE E PARTES MOLES                                                                                                                        ,201010372
BIOPSIA DE PENIS                                                                                                                                      ,201010380
BIOPSIA DE PIRAMIDE NASAL                                                                                                                             ,201010399
BIOPSIA DE PLEURA (POR ASPIRAÇÃO/AGULHA / PLEUROSCOPIA)                                                                                               ,201010402
BIOPSIA DE PROSTATA                                                                                                                                   ,201010410
BIOPSIA DE PULMAO POR ASPIRACAO                                                                                                                       ,201010429
BIOPSIA DE RIM POR PUNCAO                                                                                                                             ,201010437
BIOPSIA DE SEIO PARANASAL                                                                                                                             ,201010445
BIOPSIA DE SINOVIA                                                                                                                                    ,201010453
BIOPSIA DE TESTICULO                                                                                                                                  ,201010461
BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF                                                                                                            ,201010470
BIOPSIA DE URETER                                                                                                                                     ,201010488
BIOPSIA DE URETRA                                                                                                                                     ,201010496
BIOPSIA/PUNÇÃO DE VAGINA                                                                                                                              ,201010500
BIOPSIA/PUNÇÃO DE VULVA                                                                                                                               ,201010518
BIÓPSIA DOS TECIDOS MOLES DA BOCA                                                                                                                     ,201010526
BIOPSIA ESTEREOTAXICA                                                                                                                                 ,201010534
BIOPSIA PERCUTANEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONANCIA MAGNETICA / RAIO X                                       ,201010542
BIOPSIA PRE-ESCALENICA                                                                                                                                ,201010550
BIOPSIA/EXERESE DE NODULO DE MAMA                                                                                                                     ,201010569
PUNCAO ASPIRATIVA DE MAMA POR AGULHA FINA                                                                                                             ,201010585
PUNCAO DE CISTERNA SUB-OCCIPITAL                                                                                                                      ,201010593
PUNCAO DE MAMA POR AGULHA GROSSA                                                                                                                      ,201010607
PUNCAO DE VAGINA                                                                                                                                      ,201010615
PUNCAO EXPLORADORA DO DEFERENTE                                                                                                                       ,201010623
PUNCAO LOMBAR                                                                                                                                         ,201010631
PUNCAO P/ ESVAZIAMENTO                                                                                                                                ,201010640
PUNCAO VENTRICULAR TRANSFONTANELA                                                                                                                     ,201010658
BIOPSIA DO COLO UTERINO                                                                                                                               ,201010666
COLETA DE LAVADO BRONCO-ALVEOLAR                                                                                                                      ,201020017
COLETA DE LINFA P/ PESQUISA DE M. LEPRAE                                                                                                              ,201020025
COLETA DE MATERIAL P/ EXAME CITOPATOLOGICO DE COLO UTERINO                                                                                            ,201020033
COLETA DE MATERIAL P/ EXAME LABORATORIAL                                                                                                              ,201020041
COLETA DE SANGUE P/ TRIAGEM NEONATAL                                                                                                                  ,201020050
COLETA DE SANGUE PARA TIPIFICAÇÃO DO ALELO HLA-B                                                                                                      ,201020068
CLEARANCE OSMOLAR                                                                                                                                     ,202010015
DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO                                                                                                        ,202010023
DETERMINACAO DE CROMATOGRAFIA DE AMINOACIDOS                                                                                                          ,202010031
DETERMINACAO DE CURVA GLICEMICA (2 DOSAGENS)                                                                                                          ,202010040
DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA ( 5 DOSAGENS)                                                                                ,202010058
DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA (4 DOSAGENS)                                                                                 ,202010066
DETERMINACAO DE CURVA GLICEMICA CLASSICA (5 DOSAGENS)                                                                                                 ,202010074
DETERMINACAO DE OSMOLARIDADE                                                                                                                          ,202010082
DOSAGEM DE 5-NUCLEOTIDASE                                                                                                                             ,202010090
DOSAGEM DE ACETONA                                                                                                                                    ,202010104
DOSAGEM DE ACIDO ASCORBICO                                                                                                                            ,202010112
DOSAGEM DE ACIDO URICO                                                                                                                                ,202010120
DOSAGEM DE ACIDO VANILMANDELICO                                                                                                                       ,202010139
DOSAGEM DE ALDOLASE                                                                                                                                   ,202010147
DOSAGEM DE ALFA-1-ANTITRIPSINA                                                                                                                        ,202010155
DOSAGEM DE ALFA-1-GLICOPROTEINA ACIDA                                                                                                                 ,202010163
DOSAGEM DE ALFA-2-MACROGLOBULINA                                                                                                                      ,202010171
DOSAGEM DE AMILASE                                                                                                                                    ,202010180
DOSAGEM DE AMONIA                                                                                                                                     ,202010198
DOSAGEM DE BILIRRUBINA TOTAL E FRACOES                                                                                                                ,202010201
DOSAGEM DE CALCIO                                                                                                                                     ,202010210
DOSAGEM DE CALCIO IONIZAVEL                                                                                                                           ,202010228
DOSAGEM DE CAROTENO                                                                                                                                   ,202010236
DOSAGEM DE CATECOLAMINAS                                                                                                                              ,202010244
DOSAGEM DE CERULOPLASMINA                                                                                                                             ,202010252
DOSAGEM DE CLORETO                                                                                                                                    ,202010260
DOSAGEM DE COLESTEROL HDL                                                                                                                             ,202010279
DOSAGEM DE COLESTEROL LDL                                                                                                                             ,202010287
DOSAGEM DE COLESTEROL TOTAL                                                                                                                           ,202010295
DOSAGEM DE COLINESTERASE                                                                                                                              ,202010309
DOSAGEM DE CREATININA                                                                                                                                 ,202010317
DOSAGEM DE CREATINOFOSFOQUINASE (CPK)                                                                                                                 ,202010325
DOSAGEM DE CREATINOFOSFOQUINASE FRACAO MB                                                                                                             ,202010333
DOSAGEM DE DESIDROGENASE ALFA-HIDROXIBUTIRICA                                                                                                         ,202010341
DOSAGEM DE DESIDROGENASE GLUTAMICA                                                                                                                    ,202010350
DOSAGEM DE DESIDROGENASE LATICA                                                                                                                       ,202010368
DOSAGEM DE DESIDROGENASE LATICA (ISOENZIMAS FRACIONADAS)                                                                                              ,202010376
DOSAGEM DE FERRITINA                                                                                                                                  ,202010384
DOSAGEM DE FERRO SERICO                                                                                                                               ,202010392
DOSAGEM DE FOLATO                                                                                                                                     ,202010406
DOSAGEM DE FOSFATASE ACIDA TOTAL                                                                                                                      ,202010414
DOSAGEM DE FOSFATASE ALCALINA                                                                                                                         ,202010422
DOSAGEM DE FOSFORO                                                                                                                                    ,202010430
DOSAGEM DE FRACAO PROSTATICA DA FOSFATASE ACIDA                                                                                                       ,202010449
DOSAGEM DE GALACTOSE                                                                                                                                  ,202010457
DOSAGEM DE GAMA-GLUTAMIL-TRANSFERASE (GAMA GT)                                                                                                        ,202010465
DOSAGEM DE GLICOSE                                                                                                                                    ,202010473
DOSAGEM DE GLICOSE-6-FOSFATO DESIDROGENASE                                                                                                            ,202010481
DOSAGEM DE HAPTOGLOBINA                                                                                                                               ,202010490
DOSAGEM DE HEMOGLOBINA GLICOSILADA                                                                                                                    ,202010503
DOSAGEM DE HIDROXIPROLINA                                                                                                                             ,202010511
DOSAGEM DE ISOMERASE-FOSFOHEXOSE                                                                                                                      ,202010520
DOSAGEM DE LACTATO                                                                                                                                    ,202010538
DOSAGEM DE LEUCINO-AMINOPEPTIDASE                                                                                                                     ,202010546
DOSAGEM DE LIPASE                                                                                                                                     ,202010554
DOSAGEM DE MAGNESIO                                                                                                                                   ,202010562
DOSAGEM DE MUCO-PROTEINAS                                                                                                                             ,202010570
DOSAGEM DE PIRUVATO                                                                                                                                   ,202010589
DOSAGEM DE PORFIRINAS                                                                                                                                 ,202010597
DOSAGEM DE POTASSIO                                                                                                                                   ,202010600
DOSAGEM DE PROTEINAS TOTAIS                                                                                                                           ,202010619
DOSAGEM DE PROTEINAS TOTAIS E FRACOES                                                                                                                 ,202010627
DOSAGEM DE SODIO                                                                                                                                      ,202010635
DOSAGEM DE TRANSAMINASE GLUTAMICO-OXALACETICA (TGO)                                                                                                   ,202010643
DOSAGEM DE TRANSAMINASE GLUTAMICO-PIRUVICA (TGP)                                                                                                      ,202010651
DOSAGEM DE TRANSFERRINA                                                                                                                               ,202010660
DOSAGEM DE TRIGLICERIDEOS                                                                                                                             ,202010678
DOSAGEM DE TRIPTOFANO                                                                                                                                 ,202010686
DOSAGEM DE UREIA                                                                                                                                      ,202010694
DOSAGEM DE VITAMINA B12                                                                                                                               ,202010708
ELETROFORESE DE LIPOPROTEINAS                                                                                                                         ,202010716
ELETROFORESE DE PROTEINAS                                                                                                                             ,202010724
GASOMETRIA (PH PCO2 PO2 BICARBONATO AS2 (EXCESSO OU DEFICIT BASE )                                                                                    ,202010732
PROVA DA D-XILOSE                                                                                                                                     ,202010740
TESTE DE TOLERANCIA A INSULINA / HIPOGLICEMIANTES ORAIS                                                                                               ,202010759
DOSAGEM DE 25 HIDROXIVITAMINA D                                                                                                                       ,202010767
DETERMINAÇÃO DE CREMATÓCRITO NO LEITE HUMANO ORDENHADO                                                                                                ,202010775
ACIDEZ TITULÁVEL NO LEITE HUMANO (DORNIC)                                                                                                             ,202010783
CITOQUIMICA HEMATOLOGICA                                                                                                                              ,202020010
CONTAGEM DE PLAQUETAS                                                                                                                                 ,202020029
CONTAGEM DE RETICULOCITOS                                                                                                                             ,202020037
DETERMINACAO DE CURVA DE RESISTENCIA GLOBULAR                                                                                                         ,202020045
DETERMINACAO DE ENZIMAS ERITROCITARIAS (CADA)                                                                                                         ,202020053
DETERMINACAO DE SULFO-HEMOGLOBINA                                                                                                                     ,202020061
DETERMINACAO DE TEMPO DE COAGULACAO                                                                                                                   ,202020070
DETERMINACAO DE TEMPO DE LISE DA EUGLOBULINA                                                                                                          ,202020088
DETERMINACAO DE TEMPO DE SANGRAMENTO -DUKE                                                                                                            ,202020096
DETERMINACAO DE TEMPO DE SANGRAMENTO DE IVY                                                                                                           ,202020100
DETERMINACAO DE TEMPO DE SOBREVIDA DE HEMACIAS                                                                                                        ,202020118
DETERMINACAO DE TEMPO DE TROMBINA                                                                                                                     ,202020126
DETERMINACAO DE TEMPO DE TROMBOPLASTINA PARCIAL ATIVADA (TTP ATIVADA)                                                                                 ,202020134
DETERMINACAO DE TEMPO E ATIVIDADE DA PROTROMBINA (TAP)                                                                                                ,202020142
DETERMINACAO DE VELOCIDADE DE HEMOSSEDIMENTACAO (VHS)                                                                                                 ,202020150
DOSAGEM DE ANTICOAGULANTE CIRCULANTE                                                                                                                  ,202020169
DOSAGEM DE ANTITROMBINA III                                                                                                                           ,202020177
DOSAGEM DE FATOR II                                                                                                                                   ,202020185
DOSAGEM DE FATOR IX                                                                                                                                   ,202020193
DOSAGEM DE FATOR V                                                                                                                                    ,202020207
DOSAGEM DE FATOR VII                                                                                                                                  ,202020215
DOSAGEM DE FATOR VIII                                                                                                                                 ,202020223
DOSAGEM DE FATOR VIII (INIBIDOR)                                                                                                                      ,202020231
DOSAGEM DE FATOR VON WILLEBRAND (ANTIGENO)                                                                                                            ,202020240
DOSAGEM DE FATOR X                                                                                                                                    ,202020258
DOSAGEM DE FATOR XI                                                                                                                                   ,202020266
DOSAGEM DE FATOR XII                                                                                                                                  ,202020274
DOSAGEM DE FATOR XIII                                                                                                                                 ,202020282
DOSAGEM DE FIBRINOGENIO                                                                                                                               ,202020290
DOSAGEM DE HEMOGLOBINA                                                                                                                                ,202020304
DOSAGEM DE HEMOGLOBINA - INSTABILIDADE A 37OC                                                                                                         ,202020312
DOSAGEM DE HEMOGLOBINA FETAL                                                                                                                          ,202020320
DOSAGEM DE HEMOSSIDERINA                                                                                                                              ,202020339
DOSAGEM DE PLASMINOGENIO                                                                                                                              ,202020347
ELETROFORESE DE HEMOGLOBINA                                                                                                                           ,202020355
"ERITROGRAMA (ERITROCITOS, HEMOGLOBINA, HEMATOCRITO)                                                                                                   ",202020363
HEMATOCRITO                                                                                                                                           ,202020371
HEMOGRAMA COMPLETO                                                                                                                                    ,202020380
LEUCOGRAMA                                                                                                                                            ,202020398
PESQUISA DE ATIVIDADE DO COFATOR DE RISTOCETINA                                                                                                       ,202020401
PESQUISA DE CELULAS LE                                                                                                                                ,202020410
PESQUISA DE CORPUSCULOS DE HEINZ                                                                                                                      ,202020428
PESQUISA DE FILARIA                                                                                                                                   ,202020436
