nome,codigo
Tuberculose das supra-renais                                                                        ,A187
Tuberculose de outros órgãos especificados                                                          ,A188
Tuberculose miliar aguda de localização única e especificada                                        ,A190
Tuberculose miliar aguda de múltiplas localizações                                                  ,A191
Tuberculose miliar aguda não especificada                                                           ,A192
Outras tuberculoses miliares                                                                        ,A198
Tuberculose miliar não especificada                                                                 ,A199
Peste bubônica                                                                                      ,A200
Peste celulocutânea                                                                                 ,A201
Peste pneumônica                                                                                    ,A202
Peste meníngea                                                                                      ,A203
Peste septicêmica                                                                                   ,A207
Outras formas de peste                                                                              ,A208
"Peste, forma não especificada                                                                       ",A209
Tularemia ulceroglandular                                                                           ,A210
Tularemia oculoglandular                                                                            ,A211
Tularemia pulmonar                                                                                  ,A212
Tularemia gastrointestinal                                                                          ,A213
Tularemia generalizada                                                                              ,A217
Outras formas de tularemia                                                                          ,A218
"Tularemia, forma não especificada                                                                   ",A219
Carbúnculo cutâneo                                                                                  ,A220
Carbúnculo pulmonar                                                                                 ,A221
Carbúnculo gastrointestinal                                                                         ,A222
Septicemia carbunculosa                                                                             ,A227
Outras formas de carbúnculo                                                                         ,A228
"Carbúnculo, forma não especificada                                                                  ",A229
Brucelose por Brucella Melitensis                                                                   ,A230
Brucelose por Brucella Abortus                                                                      ,A231
Brucelose por Brucella Suis                                                                         ,A232
Brucelose por Brucella Canis                                                                        ,A233
Outras bruceloses                                                                                   ,A238
Brucelose não especificada                                                                          ,A239
Mormo                                                                                               ,A240
Melioidose aguda e fulminante                                                                       ,A241
Melioidose subaguda e crônica                                                                       ,A242
Outras melioidoses                                                                                  ,A243
Melioidose não especificada                                                                         ,A244
Espirilose                                                                                          ,A250
Estreptobacilose                                                                                    ,A251
"Febre transmitida por mordedura de rato, tipo não especificado                                      ",A259
Erisipelóide cutâneo                                                                                ,A260
Septicemia por Erysipelothrix                                                                       ,A267
Outras formas de erisipelóide                                                                       ,A268
Erisipelóide não especificado                                                                       ,A269
Leptopirose icterohemorrágica                                                                       ,A270
Outras formas de leptospirose                                                                       ,A278
Leptospirose não especificada                                                                       ,A279
Pasteurelose                                                                                        ,A280
Doença por arranhadura do gato                                                                      ,A281
Yersiniose extra-intestinal                                                                         ,A282
Outras doenças bacterianas zoonóticas especificadas não classificadas em outra parte                ,A288
Doença bacteriana zoonótica não especificada                                                        ,A289
Hanseníase [lepra] indeterminada                                                                    ,A300
Hanseníase [lepra] tuberculóide                                                                     ,A301
Hanseníase [lepra] tuberculóide borderline                                                          ,A302
Hanseníase [lepra] dimorfa                                                                          ,A303
Hanseníase [lepra] lepromatosa borderline                                                           ,A304
Hanseníase [lepra] lepromatosa                                                                      ,A305
Outras formas de hanseníase [lepra]                                                                 ,A308
Hanseníase [lepra] não especificada                                                                 ,A309
Infecção pulmonar micobacteriana                                                                    ,A310
Infecção cutânea micobacteriana                                                                     ,A311
Outras infecções micobacterianas                                                                    ,A318
Infecção micobacteriana não especificada                                                            ,A319
Listeriose cutânea                                                                                  ,A320
Meningite e meningoencefalite por listéria                                                          ,A321
Septicemia listeriótica                                                                             ,A327
Outras formas de listeriose                                                                         ,A328
Listeriose não especificada                                                                         ,A329
Tétano do recém-nascido [neonatal]                                                                  ,A33 
Tétano obstétrico                                                                                   ,A34 
Outros tipos de tétano                                                                              ,A35 
Difteria faríngea                                                                                   ,A360
Difteria nasofaríngea                                                                               ,A361
Difteria laríngea                                                                                   ,A362
Difteria cutânea                                                                                    ,A363
Outras formas de difteria                                                                           ,A368
Difteria não especificada                                                                           ,A369
Coqueluche por Bordetella Pertussis                                                                 ,A370
Coqueluche por Bordetella Parapertussis                                                             ,A371
Coqueluche por outras espécies da Bordetella                                                        ,A378
Coqueluche não especificada                                                                         ,A379
Escarlatina                                                                                         ,A38 
Meningite meningocócica                                                                             ,A390
Síndrome de Waterhouse-Friderichsen                                                                 ,A391
Meningococcemia aguda                                                                               ,A392
Meningococcemia crônica                                                                             ,A393
Meningococcemia não especificada                                                                    ,A394
Cardite por meningococos                                                                            ,A395
Outras infecções por meningococos                                                                   ,A398
Infecção meningocócica não especificada                                                             ,A399
Septicemia por Streptococcus do grupo A                                                             ,A400
Septicemia por Streptococcus do grupo B                                                             ,A401
Septicemia por Streptococcus do grupo D                                                             ,A402
Septicemia por Streptococcus pneumonia                                                              ,A403
Outras septicemias estreptocócicas                                                                  ,A408
Septicemia estreptocócica não especificada                                                          ,A409
Septicemia por staphylococcus aureus                                                                ,A410
Septicemia por outros estafilococos especificados                                                   ,A411
Septicemia por estafilococos não especificados                                                      ,A412
Septicemia por Haemophilus Influenzae                                                               ,A413
Septicemia por anaeróbios                                                                           ,A414
Septicemia por outros microorganismos gram-negativos                                                ,A415
Outras septicemias especificadas                                                                    ,A418
Septicemia não especificada                                                                         ,A419
Actinomicose pulmonar                                                                               ,A420
Actinomicose abdominal                                                                              ,A421
Actinomicose cervicofacial                                                                          ,A422
Septicemia actinomicótica                                                                           ,A427
Outras formas de actinomicose                                                                       ,A428
Actinomicose não especificada                                                                       ,A429
Nocardiose pulmonar                                                                                 ,A430
Nocardiose cutânea                                                                                  ,A431
Outras formas de nocardiose                                                                         ,A438
Nocardiose não especificada                                                                         ,A439
Bartonelose sistêmica                                                                               ,A440
Bartonelose cutânea e cutâneo-mucosa                                                                ,A441
Outras formas de bartonelose                                                                        ,A448
Bartonelose não especificada                                                                        ,A449
Erisipela                                                                                           ,A46 
Gangrena gasosa                                                                                     ,A480
Doença dos legionários                                                                              ,A481
Doença dos legionários não-pneumônica [febre de Pontiac]                                            ,A482
Síndrome do choque tóxico                                                                           ,A483
Febre purpúrica do brasil                                                                           ,A484
Outras doenças bacterianas especificadas                                                            ,A488
Infecção estafilocócica de localização não especificada                                             ,A490
Infecção estreptocócica de localização não especificada                                             ,A491
Infecção por Haemophilus influenzae de localização não especificada                                 ,A492
Infecção por Mycoplasma de localização não especificada                                             ,A493
Outras infecções bacterianas de localização não especificada                                        ,A498
Infecção bacteriana não especificada                                                                ,A499
Sífilis congênita precoce sintomática                                                               ,A500
"Sífilis congênita precoce, forma latente                                                            ",A501
Sífilis congênita precoce não especificada                                                          ,A502
Oculopatia sifilítica congênita tardia                                                              ,A503
Neurossífilis congênita tardia [neurossífilis juvenil]                                              ,A504
Outras formas tardias e sintomáticas da sífilis congênita                                           ,A505
Sífilis congênita tardia latente                                                                    ,A506
Sífilis congênita tardia não especificada                                                           ,A507
Sífilis congênita não especificada                                                                  ,A509
Sífilis genital primária                                                                            ,A510
Sífilis anal primária                                                                               ,A511
Sífilis primária de outras localizações                                                             ,A512
Sífilis secundária da pele e das mucosas                                                            ,A513
Outras formas de sífilis secundária                                                                 ,A514
Sífilis precoce latente                                                                             ,A515
Sífilis precoce não especificada                                                                    ,A519
Sífilis cardiovascular                                                                              ,A520
Neurossífilis sintomática                                                                           ,A521
Neurossífilis assintomática                                                                         ,A522
Neurossífilis não especificada                                                                      ,A523
Outras formas de sífilis tardia sintomática                                                         ,A527
Sífilis tardia latente                                                                              ,A528
Sífilis tardia não especificada                                                                     ,A529
"Sífilis latente, não especificada se recente ou tardia                                              ",A530
Sífilis não especificada                                                                            ,A539
"Infecção gonocócica do trato genitur. inferior, sem abscesso periuretral ou das glândulas acessórias",A540
"Infecção gonocócica do trato genitur. inferior, com abscesso periuretral ou das glândulas acessórias",A541
Pelviperitonite gonocócica e outras infecções geniturinárias gonocócicas                            ,A542
Infecção gonocócica do olho                                                                         ,A543
Infecção gonocócica do sistema músculo-esquelético                                                  ,A544
Faringite gonocócica                                                                                ,A545
Infecção gonocócica do ânus ou do reto                                                              ,A546
Outras infecções gonocócicas                                                                        ,A548
Infecção gonocócica não especificada                                                                ,A549
Linfogranuloma (venéreo) por clamídia                                                               ,A55 
Infecções por clamídias do trato geniturinário inferior                                             ,A560
"Infecção por clamídias, pelviperitonial e de outros órgãos geniturinários                           ",A561
"Infecção por clamídias do trato geniturinário, localização não especificada                         ",A562
Infecção do ânus e do reto por clamídias                                                            ,A563
Infecção da faringe por clamídias                                                                   ,A564
"Infecção por clamídias transmitida por via sexual, de outras localizações                           ",A568
Cancro mole                                                                                         ,A57 
Granuloma inguinal                                                                                  ,A58 
Tricomoníase urogenital                                                                             ,A590
Outras localizações de tricomoníase                                                                 ,A598
Tricomoníase não especificada                                                                       ,A599
Infecção dos órgãos genitais e do trato geniturinário pelo vírus do herpes                          ,A600
Infecção da margem cutânea do ânus e do reto pelo vírus do herpes                                   ,A601
Infecção anogenital não especificada pelo vírus do herpes                                           ,A609
Verrugas anogenitais (venéreas)                                                                     ,A630
Outras doenças especificadas de transmissão predominantemente sexual                                ,A638
"Doenças sexualmente transmitidas, não especificadas                                                 ",A64 
Sífilis não-venérea                                                                                 ,A65 
Lesões iniciais da bouba                                                                            ,A660
Papilomas múltiplos e bouba plantar úmida (cravo de bouba)                                          ,A661
Outras lesões cutâneas precoces da bouba                                                            ,A662
Hiperceratose devida a bouba                                                                        ,A663
Gomas e úlceras devidas à bouba                                                                     ,A664
Gangosa                                                                                             ,A665
Lesões osteoarticulares devidas à bouba                                                             ,A666
Outras manifestações da bouba                                                                       ,A667
Bouba latente                                                                                       ,A668
Bouba não especificada                                                                              ,A669
Lesões primárias da pinta                                                                           ,A670
Lesões intermediárias da pinta                                                                      ,A671
Lesões tardias da pinta                                                                             ,A672
Lesões mistas da pinta                                                                              ,A673
Pinta não especificada                                                                              ,A679
Febre recorrente transmitida por piolhos                                                            ,A680
Febre recorrente transmitida por carrapatos                                                         ,A681
Febre recorrente não especificada                                                                   ,A689
Estomatite ulcerativa necrotizante                                                                  ,A690
Outras infecções de vincent                                                                         ,A691
Doença de Lyme                                                                                      ,A692
Outras infecções especificadas por espiroquetas                                                     ,A698
"Infecção por espiroqueta, não especificada                                                          ",A699
Infecções causadas por clamídia psittaci                                                            ,A70 
Fase inicial do tracoma                                                                             ,A710
Fase ativa do tracoma                                                                               ,A711
Tracoma não especificado                                                                            ,A719
Conjuntivite causada por clamídias                                                                  ,A740
Outras doenças causadas por clamídias                                                               ,A748
Infecção causada por clamídias não especificada                                                     ,A749
Tifo epidêmico transmitido por piolhos devido a Rickettsia Prowazekii                               ,A750
Tifo recrudescente [doença de Brill]                                                                ,A751
Tifo por Rickettsia Typhi                                                                           ,A752
Tifo por Rickettsia Tsutsugamuchi                                                                   ,A753
Tifo não especificado                                                                               ,A759
Febre maculosa por Rickettsia Richettsii                                                            ,A770
Febre maculosa por Rickettsia Conorii                                                               ,A771
Febre maculosa devida à Rickettsia Siberica                                                         ,A772
Febre maculosa devida à Rickettsia Australis                                                        ,A773
Outras febres maculosas                                                                             ,A778
Febre maculosa não especificada                                                                     ,A779
Febre Q                                                                                             ,A78 
Febre das trincheiras                                                                               ,A790
Rickettsiose variceliforme devida à rickettsia akari                                                ,A791
Outros tipos de rickettsioses especificadas                                                         ,A798
Rickettsiose não especificada                                                                       ,A799
"Poliomielite paralítica aguda, associada ao vírus vacinal                                           ",A800
"Poliomielite paralítica aguda, vírus selvagem importado                                             ",A801
"Poliomielite paralítica aguda, vírus selvagem indígena                                              ",A802
"Poliomielites paralíticas agudas, outras e não especificadas                                        ",A803
Poliomielite aguda não-paralítica                                                                   ,A804
Poliomielite aguda não especificada                                                                 ,A809
Doença de Creutzfeldt-Jakob                                                                         ,A810
Panencefalite esclerosante subaguda                                                                 ,A811
Leucoencefalopatia multifocal progressiva                                                           ,A812
Outras infecções por vírus atípicos do sistema nervoso central                                      ,A818
Infecção não especificada do sistema nervosos central por vírus atípicos                            ,A819
Raiva silvestre                                                                                     ,A820
Raiva urbana                                                                                        ,A821
Raiva não especificada                                                                              ,A829
Encefalite japonesa                                                                                 ,A830
Encefalite eqüina ocidental                                                                         ,A831
Encefalite eqüina oriental                                                                          ,A832
Encefalite de St. Louis                                                                             ,A833
Encefalite australiana                                                                              ,A834
Encefalite da califórnia                                                                            ,A835
Doença pelo vírus de rocio                                                                          ,A836
Outras encefalites por vírus transmitidas por mosquitos                                             ,A838
Encefalite não especificada por vírus transmitida por mosquitos                                     ,A839
Encefalite da taiga [encefalite vernoestival russa]                                                 ,A840
Encefalite da europa central transmitida por carrapatos                                             ,A841
Outras encefalites por vírus transmitidas por carrapatos                                            ,A848
Encefalite não especificada por vírus transmitida por carrapatos                                    ,A849
Encefalite por enterovírus                                                                          ,A850
Encefalite por adenovírus                                                                           ,A851
"Encefalite por vírus transmitido por artrópodes, não especificada                                   ",A852
Outras encefalites virais especificadas                                                             ,A858
"Encefalite viral, não especificada                                                                  ",A86 
Meningite por enterovírus                                                                           ,A870
Meningite por adenovírus                                                                            ,A871
Coriomeningite linfocitária                                                                         ,A872
Outras meningites virais                                                                            ,A878
Meningite viral não especificada                                                                    ,A879
Febre exantemática por enterovírus [exantema de boston]                                             ,A880
Vertigem epidêmica                                                                                  ,A881
Outras infecções virais especificadas do sistema nervoso central                                    ,A888
Infecções virais não especificadas do sistema nervoso central                                       ,A89 
Dengue [dengue clássico]                                                                            ,A90 
Febre hemorrágica devida ao vírus do dengue                                                         ,A91 
Febre de Chikungunya                                                                                ,A920
Febre de O-Nyong-Nyong                                                                              ,A921
Febre eqüina venezuelana                                                                            ,A922
Infecção pelo vírus West Nile                                                                       ,A923
Febre do vale do Rift                                                                               ,A924
Outras febres virais especificadas transmitidas por mosquitos                                       ,A928
"Febre viral transmitida por mosquitos, não especificada                                             ",A929
Febre de oropouche                                                                                  ,A930
Febre por flebótomos                                                                                ,A931
Febre do colorado transmitida por carrapatos                                                        ,A932
Outras febres virais especificadas transmitidas por artrópodes                                      ,A938
"Febre viral transmitida por artrópodes, não especificada                                            ",A94 
Febre amarela silvestre                                                                             ,A950
Febre amarela urbana                                                                                ,A951
Febre amarela não especificada                                                                      ,A959
Febre hemorrágica de Junin                                                                          ,A960
Febre hemorrágica de Machupo                                                                        ,A961
Febre de Lassa                                                                                      ,A962
Outras febres hemorrágicas por arenavírus                                                           ,A968
"Febre hemorrágica por arenavírus, não especificada                                                  ",A969
Febre hemorrágica da Criméia (do Congo)                                                             ,A980
Febre hemorrágica de Omsk                                                                           ,A981
Doença da floresta de Kyasanur                                                                      ,A982
Doença de Marburg                                                                                   ,A983
Doença pelo vírus ebola                                                                             ,A984
Febre hemorrágica com síndrome renal                                                                ,A985
Outras febres hemorrágicas especificadas por vírus                                                  ,A988
Febres hemorrágicas virais não especificadas                                                        ,A99 
Eczema herpético                                                                                    ,B000
Dermatite vesicular devido ao vírus do herpes                                                       ,B001
Gengivoestomatite e faringoamigdalite devida ao vírus do herpes                                     ,B002
Meningite devida ao vírus do herpes                                                                 ,B003
Encefalite devida ao vírus do herpes                                                                ,B004
Afecções oculares devidas ao vírus do herpes                                                        ,B005
Doença disseminada devida ao vírus do herpes                                                        ,B007
Outras formas de infecção devida ao vírus do herpes                                                 ,B008
Infecção não especificada devida ao vírus do herpes                                                 ,B009
Meningite por varicela                                                                              ,B010
Encefalite por varicela                                                                             ,B011
Pneumopatia varicelosa                                                                              ,B012
Varicela com outras complicações                                                                    ,B018
Varicela sem complicação                                                                            ,B019
Encefalite pelo vírus do herpes zoster                                                              ,B020
Meningite pelo vírus do herpes zoster                                                               ,B021
Herpes Zoster acompanhado de outras manifestações neurológicas                                      ,B022
Herpes Zoster oftálmico                                                                             ,B023
Herpes Zoster disseminado                                                                           ,B027
Herpes Zoster com outras complicações                                                               ,B028
Herpes Zoster sem complicação                                                                       ,B029
Varíola                                                                                             ,B03 
Varíola dos macacos [Monkeypox]                                                                     ,B04 
Sarampo complicado por encefalite                                                                   ,B050
Sarampo complicado por meningite                                                                    ,B051
Sarampo complicado por pneumonia                                                                    ,B052
